BCI-AV#,tag,
8483,1,
8484,1,
8485,1,
8486,1,
8487,1,
8496,1,
8497,1,
8498,1,
8499,1,
8500,1,
8501,1,
8502,1,
8503,1,
8504,1,
8505,1,
8521,1,
8551,1,
8552,1,
8553,1,
8554,1,
8555,1,
8556,1,
8557,1,
8558,1,
8559,1,
8560,1,
8561,1,
8562,1,
8563,1,
8564,1,
8565,1,
8566,1,
8567,1,
8568,1,
8569,1,
8570,1,
8571,1,
8572,1,
8573,1,
8574,1,
8575,1,
8576,1,
8993,1,
8998,1,
8999,1,
9004,1,
9009,1,
9011,1,
12321,1,
12324,1,
12338,1,
12339,1,
12341,1,
12343,1,
12347,1,
12348,1,
12349,1,
12350,1,
12351,1,
12352,1,
12356,1,
12360,1,
12363,1,
12368,1,
12374,1,
12377,1,
12378,1,
12380,1,
12383,1,
12399,1,
12400,1,
12401,1,
12402,1,
12577,1,
12591,1,
12597,1,
12598,1,
12603,1,
12609,1,
12613,1,
12615,1,
12618,1,
12621,1,
12639,1,
12645,1,
12647,1,
12648,1,
12649,1,
12656,1,
12657,1,
12663,1,
12667,1,
12668,1,
12669,1,
12834,1,
12835,1,
12837,1,
12846,1,
12847,1,
12849,1,
12854,1,
12857,1,
12861,1,
12864,1,
12869,1,
12870,1,
12875,1,
12877,1,
12888,1,
12895,1,
12898,1,
12907,1,
12909,1,
12910,1,
12912,1,
13089,1,
13094,1,
13097,1,
13099,1,
13100,1,
13109,1,
13111,1,
13114,1,
13121,1,
13123,1,
13131,1,
13148,1,
13157,1,
13162,1,
13165,1,
13166,1,
13181,1,
13351,1,
13352,1,
13357,1,
13363,1,
13364,1,
13366,1,
13369,1,
13371,1,
13373,1,
13375,1,
13377,1,
13380,1,
13383,1,
13386,1,
13403,1,
13404,1,
13409,1,
13422,1,
13423,1,
13424,1,
13429,1,
13618,1,
13622,1,
13624,1,
13631,1,
13633,1,
13639,1,
13642,1,
13648,1,
13664,1,
13675,1,
13676,1,
13683,1,
13690,1,
13692,1,
13694,1,
13860,1,
13861,1,
13869,1,
13873,1,
13877,1,
13881,1,
13882,1,
13883,1,
13894,1,
13896,1,
13901,1,
13903,1,
13906,1,
13912,1,
13918,1,
13919,1,
13920,1,
13942,1,
13950,1,
14118,1,
14133,1,
14138,1,
14139,1,
14142,1,
14145,1,
14151,1,
14157,1,
14163,1,
14175,1,
14179,1,
14183,1,
14187,1,
14188,1,
14198,1,
14205,1,
14377,1,
14379,1,
14381,1,
14382,1,
14386,1,
14387,1,
14389,1,
14390,1,
14401,1,
14403,1,
14405,1,
14406,1,
14408,1,
14413,1,
14414,1,
14417,1,
14418,1,
14422,1,
14427,1,
14435,1,
14437,1,
14439,1,
14440,1,
14442,1,
14443,1,
14446,1,
14451,1,
14454,1,
14463,1,
14626,1,
14629,1,
14632,1,
14639,1,
14641,1,
14646,1,
14647,1,
14651,1,
14667,1,
14676,1,
14682,1,
14685,1,
14687,1,
14689,1,
14692,1,
14698,1,
14702,1,
14705,1,
14706,1,
14707,1,
14708,1,
14711,1,
14715,1,
14716,1,
14718,1,
14884,1,
14885,1,
14899,1,
14900,1,
14903,1,
14904,1,
14905,1,
14907,1,
14912,1,
14916,1,
14919,1,
14921,1,
14926,1,
14927,1,
14930,1,
14932,1,
14935,1,
14943,1,
14948,1,
14958,1,
14960,1,
14965,1,
14974,1,
15143,1,
15144,1,
15149,1,
15154,1,
15159,1,
15161,1,
15168,1,
15173,1,
15187,1,
15188,1,
15198,1,
15205,1,
15210,1,
15215,1,
15221,1,
15223,1,
15226,1,
15228,1,
15229,1,
15400,1,
15405,1,
15406,1,
15407,1,
15416,1,
15418,1,
15426,1,
15431,1,
15436,1,
15439,1,
15440,1,
15441,1,
15444,1,
15448,1,
15449,1,
15459,1,
15468,1,
15475,1,
15484,1,
15485,1,
15649,1,
15654,1,
15655,1,
15656,1,
15661,1,
15662,1,
15663,1,
15666,1,
15667,1,
15670,1,
15671,1,
15677,1,
15679,1,
15685,1,
15686,1,
15692,1,
15697,1,
15699,1,
15702,1,
15703,1,
15710,1,
15714,1,
15717,1,
15719,1,
15722,1,
15732,1,
15733,1,
15736,1,
15905,1,
15909,1,
15913,1,
15918,1,
15921,1,
15922,1,
15927,1,
15929,1,
15931,1,
15941,1,
15942,1,
15943,1,
15945,1,
15948,1,
15955,1,
15961,1,
15962,1,
15966,1,
15967,1,
15972,1,
15973,1,
15975,1,
16161,1,
16172,1,
16173,1,
16177,1,
16184,1,
16192,1,
16193,1,
16196,1,
16197,1,
16199,1,
16200,1,
16204,1,
16217,1,
16226,1,
16228,1,
16245,1,
16247,1,
16252,1,
16253,1,
16417,1,
16436,1,
16440,1,
16445,1,
16446,1,
16447,1,
16451,1,
16453,1,
16455,1,
16465,1,
16467,1,
16468,1,
16470,1,
16474,1,
16481,1,
16482,1,
16496,1,
16497,1,
16498,1,
16505,1,
16509,1,
16673,1,
16683,1,
16687,1,
16693,1,
16702,1,
16709,1,
16713,1,
16726,1,
16728,1,
16734,1,
16736,1,
16744,1,
16745,1,
16747,1,
16749,1,
16752,1,
16949,1,
16953,1,
16957,1,
16959,1,
16969,1,
16973,1,
16984,1,
16985,1,
16986,1,
16990,1,
16994,1,
16995,1,
17006,1,
17009,1,
17015,1,
17189,1,
17192,1,
17202,1,
17203,1,
17207,1,
17208,1,
17212,1,
17214,1,
17218,1,
17233,1,
17240,1,
17241,1,
17243,1,
17247,1,
17249,1,
17252,1,
17264,1,
17265,1,
17268,1,
17273,1,
17274,1,
17441,1,
17448,1,
17449,1,
17452,1,
17453,1,
17459,1,
17460,1,
17462,1,
17468,1,
17479,1,
17482,1,
17493,1,
17497,1,
17498,1,
17507,1,
17509,1,
17511,1,
17513,1,
17515,1,
17516,1,
17517,1,
17518,1,
17519,1,
17533,1,
17697,1,
17700,1,
17701,1,
17702,1,
17705,1,
17707,1,
17708,1,
17711,1,
17712,1,
17713,1,
17717,1,
17718,1,
17719,1,
17720,1,
17723,1,
17729,1,
17732,1,
17735,1,
17739,1,
17744,1,
17746,1,
17747,1,
17750,1,
17754,1,
17755,1,
17763,1,
17775,1,
17779,1,
17787,1,
17957,1,
17961,1,
17963,1,
17967,1,
17968,1,
17969,1,
17973,1,
17974,1,
17980,1,
17983,1,
17985,1,
17995,1,
18004,1,
18010,1,
18017,1,
18018,1,
18030,1,
18031,1,
18035,1,
18038,1,
18209,1,
18212,1,
18214,1,
18217,1,
18223,1,
18226,1,
18228,1,
18229,1,
18230,1,
18231,1,
18232,1,
18233,1,
18235,1,
18237,1,
18238,1,
18239,1,
18242,1,
18244,1,
18245,1,
18248,1,
18249,1,
18255,1,
18256,1,
18261,1,
18262,1,
18263,1,
